iter	RMSE
0	10470.00592
1	10184.69592
2	9943.204567
3	9741.638332
4	9573.336401
5	9434.746714
6	9319.468323
7	9224.441365
8	9146.130022
9	9078.222293
10	8943.967148
11	8837.510673
12	8745.973697
13	8671.299746
14	8609.67413
15	8556.013786
16	8510.654821
17	8472.831041
18	8441.075928
19	8412.66188
20	8389.441846
21	8369.99292
22	8354.147122
23	8337.417856
24	8325.371291
25	8311.838438
26	8299.263453
27	8290.690086
28	8283.272304
29	8274.182428
30	8268.061871
31	8262.786778
32	8255.951474
33	8249.710247
34	8243.809424
35	8238.589265
36	8233.465374
37	8228.060892
38	8224.204692
39	8218.829368
40	8214.735595
41	8209.765889
42	8206.102035
43	8203.192603
44	8199.377407
45	8196.67475
46	8194.484495
47	8192.14119
48	8188.740334
49	8186.219174
50	8185.020728
51	8183.931951
52	8182.004436
53	8179.770241
54	8178.139398
55	8176.404853
56	8174.377554
57	8172.447325
58	8170.624879
59	8168.672742
60	8166.899637
61	8165.595935
62	8164.430675
63	8163.297926
64	8161.816697
65	8160.616598
66	8159.187027
67	8158.110698
68	8157.059749
69	8155.94741
70	8154.980091
71	8153.841766
72	8152.906028
73	8151.76829
74	8151.13176
75	8150.395546
76	8149.297274
77	8148.475169
78	8147.731351
79	8146.672056
80	8145.771707
81	8144.940514
82	8144.144204
83	8143.729479
84	8143.2466
85	8142.373269
86	8141.849785
87	8140.906627
88	8140.161343
89	8139.58996
90	8138.850877
91	8138.178221
92	8137.690555
93	8137.232012
94	8136.683024
95	8136.089565
96	8135.722637
97	8135.199654
98	8134.393423
99	8134.039763
