iter	Passed	Remaining
0	533	52822
1	761	37331
2	995	32173
3	1231	29561
4	1472	27976
5	1697	26589
6	1920	25519
7	2148	24705
8	2370	23971
9	2610	23494
10	2842	22999
11	3084	22621
12	3294	22049
13	3506	21539
14	3719	21077
15	3930	20634
16	4138	20207
17	4339	19767
18	4550	19397
19	4755	19020
20	4964	18674
21	5170	18332
22	5375	17997
23	5585	17686
24	5809	17427
25	6026	17153
26	6239	16869
27	6460	16611
28	6690	16379
29	6911	16126
30	7129	15869
31	7342	15602
32	7548	15326
33	7749	15042
34	7962	14786
35	8170	14525
36	8388	14282
37	8603	14036
38	8800	13765
39	9022	13534
40	9236	13292
41	9440	13036
42	9650	12793
43	9861	12550
44	10064	12301
45	10270	12056
46	10478	11816
47	10692	11583
48	10891	11336
49	11100	11100
50	11303	10860
51	11513	10627
52	11719	10393
53	11922	10156
54	12151	9942
55	12348	9702
56	12554	9471
57	12754	9235
58	12948	8998
59	13158	8772
60	13360	8542
61	13569	8317
62	13780	8093
63	13990	7869
64	14192	7641
65	14398	7417
66	14593	7187
67	14801	6965
68	15026	6750
69	15239	6531
70	15451	6310
71	15660	6090
72	15862	5866
73	16056	5641
74	16262	5420
75	16474	5202
76	16683	4983
77	16885	4762
78	17083	4541
79	17296	4324
80	17496	4104
81	17708	3887
82	17933	3673
83	18146	3456
84	18355	3239
85	18551	3020
86	18751	2801
87	18957	2585
88	19160	2368
89	19357	2150
90	19557	1934
91	19757	1718
92	19960	1502
93	20172	1287
94	20378	1072
95	20571	857
96	20791	643
97	20991	428
98	21200	214
99	21400	0
