LIBELLE_ARRET,ligne_res
AEROPORT CDG1,CDGVAL
AEROPORT CHARLES DE GAULLE 1,CDGVAL
AEROPORT CHARLES DE GAULLE 2-TGV,CDGVAL
ARGENTINE,METRO 1
BASTILLE,METRO 1
BERAULT,METRO 1
CHAMPS-ELYSEES-CLEMENCEAU,METRO 1
CHARLES DE GAULLE ETOILE,METRO 1
CHATEAU DE VINCENNES,METRO 1
CHATELET,METRO 1
CONCORDE,METRO 1
ESPLANADE DE LA DEFENSE,METRO 1
FRANKLIN-D.ROOSEVELT,METRO 1
GARE DE LYON,METRO 1
GEORGE V,METRO 1
HOTEL DE VILLE,METRO 1
LES SABLONS (JARDIN D'ACCLIMATATION),METRO 1
LOUVRE-RIVOLI,METRO 1
NATION,METRO 1
PALAIS ROYAL-MUSEE DU LOUVRE,METRO 1
PONT DE NEUILLY (AVENUE DE MADRID),METRO 1
PORTE DE VINCENNES,METRO 1
REUILLY-DIDEROT,METRO 1
SAINT-PAUL (LE MARAIS),METRO 1
TUILERIES,METRO 1
ARGENTINE     ,METRO 1
BASTILLE      ,METRO 1
BERAULT       ,METRO 1
CHATELET      ,METRO 1
CONCORDE      ,METRO 1
GARE DE LYON  ,METRO 1
GEORGE V      ,METRO 1
LA DEFENSE    ,METRO 1
LES SABLONS   ,METRO 1
NATION        ,METRO 1
SAINT-PAUL    ,METRO 1
TUILERIES     ,METRO 1
LA DEFENSE,METRO 1
LES SABLONS,METRO 1
SAINT-PAUL,METRO 1
PORTE MAILLOT,METRO 1
PORTE MAILLOT ,METRO 1
LA DEFENSE-GRANDE ARCHE,METRO 1
SAINT-MANDE-TOURELLE,METRO 1
AVENUE EMILE ZOLA,METRO 10
BOULOGNE-JEAN JAURES,METRO 10
BOULOGNE-PONT DE SAINT CLOUD,METRO 10
CARDINAL-LEMOINE,METRO 10
CHARDON-LAGACHE,METRO 10
CHARLES MICHELS,METRO 10
DUROC,METRO 10
EGLISE D'AUTEUIL,METRO 10
JAVEL,METRO 10
JUSSIEU,METRO 10
LA MOTTE-PICQUET-GRENELLE,METRO 10
MABILLON,METRO 10
MAUBERT-MUTUALITE,METRO 10
MICHEL-ANGE-AUTEUIL,METRO 10
MICHEL-ANGE-MOLITOR,METRO 10
MIRABEAU,METRO 10
ODEON,METRO 10
PORTE D'AUTEUIL,METRO 10
SEGUR,METRO 10
SEVRES-BABYLONE,METRO 10
VANEAU,METRO 10
DUROC         ,METRO 10
JUSSIEU       ,METRO 10
MABILLON      ,METRO 10
MIRABEAU      ,METRO 10
ODEON         ,METRO 10
SEGUR         ,METRO 10
VANEAU        ,METRO 10
JAVEL         ,METRO 10
SAINT-MICHEL NOTRE DAME,METRO 10
AUSTERLITZ,METRO 10
ARTS ET METIERS,METRO 11
BELLEVILLE,METRO 11
CHATELET,METRO 11
GONCOURT (HOPITAL SAINT-LOUIS),METRO 11
HOTEL DE VILLE,METRO 11
JOURDAIN,METRO 11
MAIRIE DES LILAS,METRO 11
PLACE DES FETES,METRO 11
PORTE DES LILAS,METRO 11
PYRENEES,METRO 11
